"year","State","soil","pixels","Area_sqkm","SoilName"
1995,"1",3,12458,11.2122,"Loamy-Clayey"
1995,"1",4,27549,24.7941,"Gravelly and Calcic"
1995,"1",5,10580,9.522,"Bedrock and Colluvium"
1995,"1",6,1100,0.99,"Gypsic"
1995,"1",7,2175,1.9575,"Bottomland"
1995,"1",8,61518,55.3662,"Sandy and Deep Sand"
1995,"2",3,129606,116.6454,"Loamy-Clayey"
1995,"2",4,797467,717.7203,"Gravelly and Calcic"
1995,"2",5,357367,321.6303,"Bedrock and Colluvium"
1995,"2",6,15954,14.3586,"Gypsic"
1995,"2",7,34335,30.9015,"Bottomland"
1995,"2",8,1738234,1564.4106,"Sandy and Deep Sand"
1995,"3",3,8773,7.8957,"Loamy-Clayey"
1995,"3",4,293305,263.9745,"Gravelly and Calcic"
1995,"3",5,283404,255.0636,"Bedrock and Colluvium"
1995,"3",6,3141,2.8269,"Gypsic"
1995,"3",7,7395,6.6555,"Bottomland"
1995,"3",8,332096,298.8864,"Sandy and Deep Sand"
1996,"1",3,12866,11.5794,"Loamy-Clayey"
1996,"1",4,30371,27.3339,"Gravelly and Calcic"
1996,"1",5,10437,9.3933,"Bedrock and Colluvium"
1996,"1",6,1243,1.1187,"Gypsic"
1996,"1",7,2548,2.2932,"Bottomland"
1996,"1",8,64835,58.3515,"Sandy and Deep Sand"
1996,"2",3,127986,115.1874,"Loamy-Clayey"
1996,"2",4,805950,725.355,"Gravelly and Calcic"
1996,"2",5,376865,339.1785,"Bedrock and Colluvium"
1996,"2",6,15780,14.202,"Gypsic"
1996,"2",7,33825,30.4425,"Bottomland"
1996,"2",8,1724222,1551.7998,"Sandy and Deep Sand"
1996,"3",3,9985,8.9865,"Loamy-Clayey"
1996,"3",4,282000,253.8,"Gravelly and Calcic"
1996,"3",5,264049,237.6441,"Bedrock and Colluvium"
1996,"3",6,3172,2.8548,"Gypsic"
1996,"3",7,7532,6.7788,"Bottomland"
1996,"3",8,342791,308.5119,"Sandy and Deep Sand"
1997,"1",3,12429,11.1861,"Loamy-Clayey"
1997,"1",4,31518,28.3662,"Gravelly and Calcic"
1997,"1",5,10771,9.6939,"Bedrock and Colluvium"
1997,"1",6,1231,1.1079,"Gypsic"
1997,"1",7,2521,2.2689,"Bottomland"
1997,"1",8,63370,57.033,"Sandy and Deep Sand"
1997,"2",3,128352,115.5168,"Loamy-Clayey"
1997,"2",4,804083,723.6747,"Gravelly and Calcic"
1997,"2",5,372118,334.9062,"Bedrock and Colluvium"
1997,"2",6,15854,14.2686,"Gypsic"
1997,"2",7,33365,30.0285,"Bottomland"
1997,"2",8,1755626,1580.0634,"Sandy and Deep Sand"
1997,"3",3,10056,9.0504,"Loamy-Clayey"
1997,"3",4,282720,254.448,"Gravelly and Calcic"
1997,"3",5,268462,241.6158,"Bedrock and Colluvium"
1997,"3",6,3110,2.799,"Gypsic"
1997,"3",7,8019,7.2171,"Bottomland"
1997,"3",8,312852,281.5668,"Sandy and Deep Sand"
1998,"1",3,13294,11.9646,"Loamy-Clayey"
1998,"1",4,32276,29.0484,"Gravelly and Calcic"
1998,"1",5,10929,9.8361,"Bedrock and Colluvium"
1998,"1",6,1344,1.2096,"Gypsic"
1998,"1",7,2945,2.6505,"Bottomland"
1998,"1",8,70637,63.5733,"Sandy and Deep Sand"
1998,"2",3,127773,114.9957,"Loamy-Clayey"
1998,"2",4,831397,748.2573,"Gravelly and Calcic"
1998,"2",5,377958,340.1622,"Bedrock and Colluvium"
1998,"2",6,16009,14.4081,"Gypsic"
1998,"2",7,33540,30.186,"Bottomland"
1998,"2",8,1756589,1580.9301,"Sandy and Deep Sand"
1998,"3",3,9770,8.793,"Loamy-Clayey"
1998,"3",4,254648,229.1832,"Gravelly and Calcic"
1998,"3",5,262464,236.2176,"Bedrock and Colluvium"
1998,"3",6,2842,2.5578,"Gypsic"
1998,"3",7,7420,6.678,"Bottomland"
1998,"3",8,304622,274.1598,"Sandy and Deep Sand"
1999,"1",3,13345,12.0105,"Loamy-Clayey"
1999,"1",4,35497,31.9473,"Gravelly and Calcic"
1999,"1",5,12412,11.1708,"Bedrock and Colluvium"
1999,"1",6,1378,1.2402,"Gypsic"
1999,"1",7,2812,2.5308,"Bottomland"
1999,"1",8,72380,65.142,"Sandy and Deep Sand"
1999,"2",3,127215,114.4935,"Loamy-Clayey"
1999,"2",4,807582,726.8238,"Gravelly and Calcic"
1999,"2",5,383596,345.2364,"Bedrock and Colluvium"
1999,"2",6,15705,14.1345,"Gypsic"
1999,"2",7,33516,30.1644,"Bottomland"
1999,"2",8,1728535,1555.6815,"Sandy and Deep Sand"
