SoilType,yearType,ProportionStart,pred
Bedrock and Colluvium,Dry,0.4,0.021976839492835954
Bedrock and Colluvium,Dry,0.5,0.03363056513255769
Bedrock and Colluvium,Dry,0.6000000000000001,0.051140813244137086
Bedrock and Colluvium,Dry,0.7000000000000001,0.07704120368280064
Bedrock and Colluvium,Dry,0.8,0.11447635470970487
Bedrock and Colluvium,Dry,0.9,0.16681399363299512
Bedrock and Colluvium,Dry,1,0.2366843582391146
Bottomland,Dry,0,0.0032468235724201996
Bottomland,Dry,0.1,0.005773924042801007
Bottomland,Dry,0.2,0.010247720752346942
Bottomland,Dry,0.30000000000000004,0.01812474651477372
Bottomland,Dry,0.4,0.031861624649008206
Bottomland,Dry,0.5,0.055422116820376476
Bottomland,Dry,0.6000000000000001,0.09470053954697737
Bottomland,Dry,0.7000000000000001,0.15718384198630095
Bottomland,Dry,0.8,0.2495302031736308
Bottomland,Dry,0.9,0.3721729366854039
Bottomland,Dry,1,0.5138232764852835
Sandy and Deep Sand,Dry,0,0.0035275213932175874
Sandy and Deep Sand,Dry,0.1,0.005920880573832734
Sandy and Deep Sand,Dry,0.2,0.009921921722800906
Sandy and Deep Sand,Dry,0.30000000000000004,0.01658157180375925
Sandy and Deep Sand,Dry,0.4,0.027586668731205362
Sandy and Deep Sand,Dry,0.5,0.04555742424406816
Sandy and Deep Sand,Dry,0.6000000000000001,0.07433988908564346
Sandy and Deep Sand,Dry,0.7000000000000001,0.11903870403336715
Sandy and Deep Sand,Dry,0.8,0.1852355832797616
Sandy and Deep Sand,Dry,0.9,0.2766827980755997
Sandy and Deep Sand,Dry,1,0.39157854466263287
Loamy-Clayey,Dry,0,0.0037530140309338447
Loamy-Clayey,Dry,0.1,0.006556032294717599
Loamy-Clayey,Dry,0.2,0.011428528616085877
Loamy-Clayey,Dry,0.30000000000000004,0.019849947119097225
Loamy-Clayey,Dry,0.4,0.034261842728624765
Loamy-Clayey,Dry,0.5,0.05851272450453212
Loamy-Clayey,Dry,0.6000000000000001,0.09818351484831218
Loamy-Clayey,Dry,0.7000000000000001,0.16017469363783154
Loamy-Clayey,Dry,0.8,0.2504366250777884
Loamy-Clayey,Dry,0.9,0.36920215386599126
Loamy-Clayey,Dry,1,0.5062503661968357
