SoilType,yearType,ProportionStart,pred
Gravelly and Calcic,Dry,0.5,0.1016187419268236
Gravelly and Calcic,Dry,0.6000000000000001,0.12004598515772429
Gravelly and Calcic,Dry,0.7000000000000001,0.14128924301012222
Gravelly and Calcic,Dry,0.8,0.1655843119854029
Gravelly and Calcic,Dry,0.9,0.1931174730993543
Gravelly and Calcic,Dry,1,0.22399979759582553
Sandy and Deep Sand,Dry,0,0.021461489202716132
Sandy and Deep Sand,Dry,0.1,0.026750182835225907
Sandy and Deep Sand,Dry,0.2,0.03329780610642329
Sandy and Deep Sand,Dry,0.30000000000000004,0.04137994584102698
Sandy and Deep Sand,Dry,0.4,0.05131966334639805
Sandy and Deep Sand,Dry,0.5,0.06348883404924344
Sandy and Deep Sand,Dry,0.6000000000000001,0.07830543561497579
Sandy and Deep Sand,Dry,0.7000000000000001,0.09622455537406147
Sandy and Deep Sand,Dry,0.8,0.11772048991959413
Sandy and Deep Sand,Dry,0.9,0.1432573029416242
Sandy and Deep Sand,Dry,1,0.17324598020684726
Loamy-Clayey,Dry,0,0.01722329183571498
Loamy-Clayey,Dry,0.1,0.02279494000800583
Loamy-Clayey,Dry,0.2,0.030113760047927592
Loamy-Clayey,Dry,0.30000000000000004,0.03968701453804485
Loamy-Clayey,Dry,0.4,0.052140027242367486
Loamy-Clayey,Dry,0.5,0.06822295379003435
Loamy-Clayey,Dry,0.6000000000000001,0.08880199310944814
Loamy-Clayey,Dry,0.7000000000000001,0.11482361427899997
Loamy-Clayey,Dry,0.8,0.1472382210134076
Loamy-Clayey,Dry,0.9,0.18687163552856376
Loamy-Clayey,Dry,1,0.23424302927682164
