SoilType,yearType,ProportionStart,pred
Bottomland,Dry,0,0.012130255
Bottomland,Dry,0.1,0.015695794
Bottomland,Dry,0.2,0.020287857
Bottomland,Dry,0.3,0.026187659
Bottomland,Dry,0.4,0.033744058
Bottomland,Dry,0.5,0.043383704
Bottomland,Dry,0.6,0.055618594
Bottomland,Dry,0.7,0.071047653
Bottomland,Dry,0.8,0.090347387
Bottomland,Dry,0.9,0.114245037
Bottomland,Dry,1,0.143466875
Loamy-Clayey,Dry,0,0.01120402
Loamy-Clayey,Dry,0.1,0.014009155
Loamy-Clayey,Dry,0.2,0.017504176
Loamy-Clayey,Dry,0.3,0.021851814
Loamy-Clayey,Dry,0.4,0.027249357
Loamy-Clayey,Dry,0.5,0.033933876
Loamy-Clayey,Dry,0.6,0.042187055
Loamy-Clayey,Dry,0.7,0.05233877
Loamy-Clayey,Dry,0.8,0.064768161
Loamy-Clayey,Dry,0.9,0.079900411
Loamy-Clayey,Dry,1,0.098196902
