Timestep,StratumID,StateClassID,TransitionGroupID,Amount
2002,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.00785533373461387
2002,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0855684232535205
2003,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0162672902489525
2003,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0514158883054937
2004,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0137789312676201
2004,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.104185395413247
2005,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0288566215966076
2005,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.169678703850197
2006,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0327354050301498
2006,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.143289793298434
2007,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0394497337439961
2007,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0801396738882829
2008,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0213916019990977
2008,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.105057887700347
2009,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0120322339646677
2009,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0578926052146596
2010,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0153236573384938
2010,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0329724149200785
2011,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.00753941100050344
2011,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0737599921199934
2013,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.010082421208446
2013,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0505054192373921
2014,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.0182170034878944
2014,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0205612694340556
2015,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.00881123511907191
2015,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0105991873728848
2016,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.00107596499820434
2016,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.00265307615401497
2017,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],4.86534264167296e-4
2017,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.00142876365026982
2018,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],6.58476668211513e-4
2018,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0100690691873034
2019,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.00284258386887317
2019,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0275490270797149
2020,Gravelly and Calcic,Low Shrub:All,Shrub in-filling [Type],0.011984638481656
2020,Gravelly and Calcic,Shrubland:All,Shrub decline [Type],0.0349824014551693
1986,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0383827497240975
1986,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.134340748970711
1987,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0448814082368671
1987,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0708053164709103
1988,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.023793030308751
1988,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.089020170561896
1989,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0230278899839303
1989,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0688553180538954
1990,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0293511968604766
1990,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0532150942529588
1991,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0392799389844624
1991,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0610309819102975
1992,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0591261698548521
1992,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0618354143742499
1993,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0346724918125744
1993,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0959443522756801
1994,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0243031704712542
1994,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.133480402908772
1995,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0556715904911791
1995,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0468403409227559
1996,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0237476985837036
1996,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.109419045779542
1997,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0288368176279577
1997,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0567532029995903
1998,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0257585419502792
1998,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0749991635082418
1999,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0301445150588806
1999,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0616867823793747
2000,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0117298187668583
2000,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0416834354642176
2001,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0161373775905405
2001,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0508053919898779
2002,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0121870109832292
2002,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.047962969762486
2003,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0128810434599354
2003,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0398390126629096
2004,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0274845001576888
2004,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0444266007257174
2005,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0685036052387246
2005,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0404433394606014
2006,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.033690888112391
2006,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.120530780752974
2007,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0509073782091015
2007,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0648349937024668
2008,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0232176256799911
2008,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0841553199227918
2009,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0165599793934259
2009,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0636695365003432
2010,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0237201004127104
2010,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0404813805419494
2011,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0120875099335165
2011,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0622125771471619
2013,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0169355206168738
2013,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0296003942003607
2014,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.016337227506512
2014,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0218960713336797
2015,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0131738860808027
2015,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0144219754191341
2016,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.00131439349412555
2016,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.00199174421791733
2017,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],6.9930398434584e-4
2017,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],8.69822534147312e-4
2018,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.00214681305879009
2018,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.00422053113209973
2019,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.00925949417420027
2019,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0104133435480739
2020,Bedrock and Colluvium,Low Shrub:All,Shrub in-filling [Type],0.0175472601914733
2020,Bedrock and Colluvium,Shrubland:All,Shrub decline [Type],0.0313222958619486
1986,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.0111636858475894
1986,Gypsic,Shrubland:All,Shrub decline [Type],0.26367890163208
1987,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.0199000198547035
1987,Gypsic,Shrubland:All,Shrub decline [Type],0.206261059150657
1988,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00785912638047272
1988,Gypsic,Shrubland:All,Shrub decline [Type],0.38839083403936703
1989,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00454188809266803
1989,Gypsic,Shrubland:All,Shrub decline [Type],0.309806067774767
1990,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00697702227863937
1990,Gypsic,Shrubland:All,Shrub decline [Type],0.227908476385306
1991,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.0122659154303816
1991,Gypsic,Shrubland:All,Shrub decline [Type],0.208220647472984
1992,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.033277509845372
1992,Gypsic,Shrubland:All,Shrub decline [Type],0.132819649868627
1993,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.010588933109431
1993,Gypsic,Shrubland:All,Shrub decline [Type],0.438376316434693
1994,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00752630095810633
1994,Gypsic,Shrubland:All,Shrub decline [Type],0.327743087952662
1995,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.0111156882052197
1995,Gypsic,Shrubland:All,Shrub decline [Type],0.142163171697036
1996,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00608199849849438
1996,Gypsic,Shrubland:All,Shrub decline [Type],0.258359260145646
1997,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00665029142545359
1997,Gypsic,Shrubland:All,Shrub decline [Type],0.146418024290548
1998,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00444602997352522
1998,Gypsic,Shrubland:All,Shrub decline [Type],0.119877059021275
1999,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00376090582184451
1999,Gypsic,Shrubland:All,Shrub decline [Type],0.0935482304966261
2000,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00374815581185118
2000,Gypsic,Shrubland:All,Shrub decline [Type],0.0999737601679349
2001,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00421415169833572
2001,Gypsic,Shrubland:All,Shrub decline [Type],0.105873018982506
2002,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00253752193833012
2002,Gypsic,Shrubland:All,Shrub decline [Type],0.1571033156004
2003,Gypsic,Low Shrub:All,Shrub in-filling [Type],0.00495561268678763
2003,Gypsic,Shrubland:All,Shrub decline [Type],0.109758609102832
